10:59:43.009 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - statement -> com.mysql.cj.jdbc.ClientPreparedStatement: select * from customers WHERE name = 'tester01'' OR ''a''=''a'
11:23:07.731 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - statement -> com.mysql.cj.jdbc.ClientPreparedStatement: select * from customers
11:23:07.731 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - customer id -> f0333c46-600f-35bd-9b97-e0adcbc79657, name -> new-user2, createdAt -> 2022-04-14T02:22:17
11:23:07.731 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - customer id -> cde05550-4e4f-3c12-8227-251e490131ee, name -> new-user, createdAt -> 2022-04-14T02:22:17
11:23:07.731 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - customer id -> 609e2e4f-a241-3ffd-a3a0-aa8b7733802f, name -> tester00, createdAt -> 2022-04-13T09:05:36
11:23:07.731 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - customer id -> 8b60301f-941b-3057-95f7-dab4b97f20b7, name -> tester01, createdAt -> 2022-04-13T09:05:36
11:23:07.731 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - customer id -> ac2d1a62-0908-3196-8689-2b10369971f7, name -> tester02, createdAt -> 2022-04-13T09:05:37
11:23:07.736 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - Found name: new-user2
11:23:07.736 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - Found name: new-user
11:23:07.736 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - Found name: tester00
11:23:07.736 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - Found name: tester01
11:23:07.736 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - Found name: tester02
11:25:37.471 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - delete count -> 0
11:25:37.573 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - statement -> com.mysql.cj.jdbc.ClientPreparedStatement: select * from customers
11:25:37.574 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - customer id -> f0333c46-600f-35bd-9b97-e0adcbc79657, name -> new-user2, createdAt -> 2022-04-14T02:22:17
11:25:37.574 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - customer id -> cde05550-4e4f-3c12-8227-251e490131ee, name -> new-user, createdAt -> 2022-04-14T02:22:17
11:25:37.574 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - customer id -> 609e2e4f-a241-3ffd-a3a0-aa8b7733802f, name -> tester00, createdAt -> 2022-04-13T09:05:36
11:25:37.574 [main] INFO  org.prgms.kdt.JdbcCustomerRepository - customer id -> 8b60301f-941b-3057-95f7-dab4b97f20b7, name -> tester01, createdAt -> 2022-04-13T09:05:36
